Cueanexo,Nombre_EE,Sector,Ámbito,Código de localidad,Localidad,Primario,Secundario,Jardín,id_depto
460044100,ESC.N°273 ALMIRANTE GUILLERMO BROWN,Estatal,Rural,46084074,LA MARUJA,1,0,0,46084
460050800,ESC.N°082 RAUL ORIHUELA,Estatal,Rural,46070043,NACATE,1,0,0,46070
460092200,ESC.NORMAL SUPERIOR DR.PEDRO IGNACIO DE CASTRO BARROS(nivel primario),Estatal,Urbano,46014015,LA RIOJA,1,0,0,46014
500008300,ANGEL VICENTE PEÑALOZA,Estatal,Urbano,50028026,VILLA NUEVA (GUAYMALLEN),1,0,0,50028
500037700,LEONOR FERREYRA,Estatal,Urbano,50084024,RIVADAVIA,1,0,0,50084
500060200,FRAY LUIS BELTRAN,Estatal,Urbano,50021007,SAN FRANCISCO DEL MONTE (GODOY CRUZ),1,0,0,50021
500080600,CAPITAN DE FRAGATA PEDRO E. GIACHINO,Estatal,Urbano,50028026,VILLA NUEVA (GUAYMALLEN),1,0,0,50028
500087100,CORONEL MANUEL JOSE OLASCOAGA,Estatal,Urbano,50049004,CIENAGUITA (LAS HERAS),1,0,0,50049
500088700,PROCERES DE LA INDEPENDENCIA,Estatal,Urbano,50028010,GENERAL BELGRANO (GUAYMALLEN),1,0,0,50028
500092500,JOHN FITZGERALD KENNEDY,Estatal,Urbano,50070021,RODEO DEL MEDIO,1,0,0,50070
500102500,PROFESOR DIONISIO CHACA,Estatal,Urbano,50126013,TUPUNGATO,1,0,0,50126
500110300,GENERAL JOSE DE SAN MARTIN,Estatal,Urbano,50098018,SAN MARTIN,1,0,0,50098
500183100,ESTACION JOSE FRANCISCO UGARTECHE,Estatal,Urbano,50063020,UGARTECHE,1,0,0,50063
540001100,ESC. Nº 524: VIRREY PEDRO DE CEBALLOS,Estatal,Urbano,54063007,ESPERANZA,1,0,0,54063
540011401,Aula Sat. Nº 01: ESC. Nº 655,Estatal,Rural,54056042,VIRGEN DE LOURDES - BARRA ALEGRE (COL MONTEAGUDO),1,0,0,54056
540011800,ESC. N° 785,Estatal,Urbano,54056005,EL SOBERBIO,1,0,0,54056
540012400,ESC. Nº 633: ENRIQUE URRUTIA (F.J.C.),Estatal,Urbano,54091002,CAMPO RAMON,1,0,0,54091
540018100,ESC. Nº 568,Estatal,Rural,54119008,COLONIA EL PROGRESO,1,0,0,54119
540027100,ESC. Nº 762,Estatal,Urbano,54077011,GARUHAPE,1,0,0,54077
540034403,Aula Sat. Nº 03: ESC. Nº 696,Estatal,Rural,54049002,BERNARDO DE IRIGOYEN,1,0,0,54049
540034801,Aula Sat. Nº 01: ESC. Nº 357,Estatal,Rural,54049009,GENERAL MANUEL BELGRANO,1,0,0,54049
540039901,Aula Sat. Nº 01: ESC. Nº 786,Estatal,Rural,54112022,LAS MINAS,1,0,0,54112
540042401,Aula Sat. Nº 01: ESC. Nº 743,Estatal,Urbano,54098008,GOBERNADOR ROCA,1,0,0,54098
540042800,ESC. Nº 214: EUGENIO LAGIER,Estatal,Urbano,54098023,SANTO PIPO,1,0,0,54098
540043900,ESC. Nº 251: JUAN KUSPITA SAWICKI,Estatal,Rural,54098002,COLONIA POLANA,1,0,0,54098
540044500,ESC. Nº 481: PROVINCIA DEL CHACO,Estatal,Rural,54091001,ALBERDI,1,0,0,54091
